Date,Year,Month,Month_Name,Location_encoded,Location_name,MinTemp,MaxTemp,Temp_avg,Rainfall,Evaporation,Sunshine,WindDir_avg,WindSpeed_max,WindSpeed_avg,Humidity_avg,Pressure_avg,Cloud_avg,RainToday,RISK_MM,RainTomorrow,activity_Surf,activity_Senderismo,activity_Buceo,activity_Kayak,activity_Ciclismo,activity_Camping
2008-12-01,2008,12,December,2,Albury,13.4,22.9,19.35,0.6,6.447058801943429,7.658012608804145,W,44.0,22.0,46.5,1007.4000000000001,8.0,0,0.0,0,0,0,0,0,0,0
2008-12-02,2008,12,December,2,Albury,7.4,25.1,20.75,0.0,6.447058801943429,7.658012608804145,WNW,44.0,13.0,34.5,1009.2,7.75,0,0.0,0,0,0,0,0,0,0
2008-12-03,2008,12,December,2,Albury,12.9,25.7,22.1,0.0,6.447058801943429,7.658012608804145,WSW,46.0,22.5,34.0,1008.1500000000001,4.75,0,0.0,0,0,0,0,0,0,0
2008-12-04,2008,12,December,2,Albury,9.2,28.0,22.3,0.0,6.447058801943429,7.658012608804145,NE,24.0,10.0,30.5,1015.2,6.125,0,1.0,0,0,1,0,1,1,0
2008-12-05,2008,12,December,2,Albury,17.5,32.3,23.75,1.0,6.447058801943429,7.658012608804145,W,41.0,13.5,57.5,1008.4,7.5,0,0.2,0,0,0,0,0,0,0
2008-12-06,2008,12,December,2,Albury,14.6,29.7,24.75,0.2,6.447058801943429,7.658012608804145,WNW,56.0,21.5,39.0,1007.3,6.0,0,0.0,0,0,0,0,0,0,0
2008-12-07,2008,12,December,2,Albury,14.3,25.0,21.35,0.0,6.447058801943429,7.658012608804145,W,50.0,22.0,34.0,1008.9000000000001,4.5,0,0.0,0,0,0,0,0,0,0
2008-12-08,2008,12,December,2,Albury,7.7,26.7,20.9,0.0,6.447058801943429,7.658012608804145,W,35.0,11.5,33.5,1011.75,5.2,0,0.0,0,1,1,0,0,0,0
2008-12-09,2008,12,December,2,Albury,9.7,31.9,24.25,0.0,6.447058801943429,7.658012608804145,NNW,80.0,17.5,25.5,1006.25,5.9,0,1.4,1,0,0,0,0,0,0
2008-12-10,2008,12,December,2,Albury,13.1,30.1,24.15,1.4,6.447058801943429,7.658012608804145,W,28.0,13.0,42.5,1006.35,6.6,1,0.0,0,0,0,0,0,0,0
2008-12-11,2008,12,December,2,Albury,13.4,30.4,24.6,0.0,6.447058801943429,7.658012608804145,N,30.0,11.5,35.0,1010.25,7.3,0,2.2,1,0,1,0,0,0,0
2008-12-12,2008,12,December,2,Albury,15.9,21.7,16.45,2.2,6.447058801943429,7.658012608804145,NNE,31.0,14.0,90.0,1007.35,8.0,1,15.6,1,0,0,0,0,0,0
2008-12-13,2008,12,December,2,Albury,15.9,18.6,16.6,15.6,6.447058801943429,7.658012608804145,W,61.0,28.0,84.5,993.65,8.0,1,3.6,1,0,0,0,0,0,0
2008-12-14,2008,12,December,2,Albury,12.6,21.0,17.8,3.6,6.447058801943429,7.658012608804145,SW,44.0,22.0,54.0,1001.5,5.5,1,0.0,0,0,0,0,0,0,0
2008-12-16,2008,12,December,2,Albury,9.8,27.7,21.75,2.349974074310838,6.447058801943429,7.658012608804145,WNW,50.0,18.000994000497002,39.0,1011.8499999999999,2.0,0,0.0,0,0,0,0,0,0,0
2008-12-17,2008,12,December,2,Albury,14.1,20.9,17.65,0.0,6.447058801943429,7.658012608804145,ENE,22.0,10.0,75.5,1011.3,4.5,0,16.8,1,0,1,0,1,0,0
2008-12-18,2008,12,December,2,Albury,13.5,22.9,19.75,16.8,6.447058801943429,7.658012608804145,W,63.0,13.0,72.5,1004.0,4.5,1,10.6,1,0,0,0,0,0,0
2008-12-19,2008,12,December,2,Albury,11.2,22.5,18.25,10.6,6.447058801943429,7.658012608804145,SSE,43.0,20.5,39.5,1009.55,4.75,1,0.0,0,0,0,0,0,0,0
2008-12-20,2008,12,December,2,Albury,9.8,25.6,19.5,0.0,6.447058801943429,7.658012608804145,SSE,26.0,11.5,35.5,1018.1500000000001,4.333333333333333,0,0.0,0,1,1,0,0,1,0
2008-12-21,2008,12,December,2,Albury,11.5,29.3,23.200000000000003,0.0,6.447058801943429,7.658012608804145,S,24.0,9.0,42.0,1017.05,3.916666666666667,0,0.0,0,1,1,0,1,1,0
2008-12-22,2008,12,December,2,Albury,17.1,33.0,28.05,0.0,6.447058801943429,7.658012608804145,NE,43.0,19.5,33.0,1010.85,3.5,0,0.0,0,0,0,0,0,0,0
2008-12-23,2008,12,December,2,Albury,20.5,31.8,27.3,0.0,6.447058801943429,7.658012608804145,WNW,41.0,19.5,39.0,1006.75,3.25,0,0.0,0,0,0,0,0,0,0
2008-12-24,2008,12,December,2,Albury,15.3,30.9,24.95,0.0,6.447058801943429,7.658012608804145,N,33.0,9.5,39.0,1009.6,3.0,0,0.0,0,1,1,0,0,0,0
2008-12-25,2008,12,December,2,Albury,12.6,32.4,26.35,0.0,6.447058801943429,7.658012608804145,W,43.0,11.5,33.0,1011.5,3.25,0,0.0,0,0,0,0,0,0,0
2008-12-26,2008,12,December,2,Albury,16.2,33.9,28.1,0.0,6.447058801943429,7.658012608804145,WSW,35.0,11.0,32.0,1009.25,3.5,0,0.0,0,1,1,0,0,0,0
2008-12-27,2008,12,December,2,Albury,16.9,33.0,28.9,0.0,6.447058801943429,7.658012608804145,WSW,57.0,13.0,34.5,1005.2,3.75,0,0.0,0,0,0,0,0,0,0
2008-12-28,2008,12,December,2,Albury,20.1,32.7,28.35,0.0,6.447058801943429,7.658012608804145,WNW,48.0,21.5,35.5,1003.45,5.166666666666666,0,0.0,0,0,0,0,0,0,0
2008-12-29,2008,12,December,2,Albury,19.7,27.2,23.85,0.0,6.447058801943429,7.658012608804145,WNW,46.0,24.5,35.5,1004.5,6.583333333333334,0,1.2,1,0,0,0,0,0,0
2008-12-30,2008,12,December,2,Albury,12.5,24.2,15.35,1.2,6.447058801943429,7.658012608804145,WNW,50.0,16.5,74.0,1004.5,8.0,1,0.8,0,0,0,0,0,0,0
2008-12-31,2008,12,December,2,Albury,12.0,24.4,19.799999999999997,0.8,6.447058801943429,7.658012608804145,W,39.0,17.0,38.0,1005.6,4.3478260869565215,0,0.0,0,0,1,0,0,0,0
2009-01-01,2009,1,January,2,Albury,11.3,26.5,22.7,0.0,6.447058801943429,7.658012608804145,WNW,56.0,25.0,36.0,1003.85,4.263833992094861,0,0.0,0,0,0,0,0,0,0
2009-01-02,2009,1,January,2,Albury,9.6,23.9,18.5,0.0,6.447058801943429,7.658012608804145,W,41.0,15.0,33.0,1013.75,4.179841897233202,0,0.0,0,0,0,0,0,0,0
2009-01-03,2009,1,January,2,Albury,10.5,28.8,21.8,0.0,6.447058801943429,7.658012608804145,SSE,26.0,9.0,32.5,1016.75,4.095849802371541,0,0.0,0,1,1,0,0,1,0
2009-01-04,2009,1,January,2,Albury,12.3,34.6,27.299999999999997,0.0,6.447058801943429,7.658012608804145,WNW,37.0,11.5,26.5,1012.7,4.011857707509881,0,0.0,0,0,1,0,0,0,0
2009-01-05,2009,1,January,2,Albury,12.9,35.8,28.4,0.0,6.447058801943429,7.658012608804145,WNW,41.0,16.0,25.0,1010.9000000000001,3.927865612648221,0,0.0,0,0,0,0,0,0,0
2009-01-06,2009,1,January,2,Albury,13.7,37.9,29.95,0.0,6.447058801943429,7.658012608804145,W,52.0,15.0,20.5,1008.8,3.8438735177865615,0,0.0,0,0,0,0,0,0,0
2009-01-07,2009,1,January,2,Albury,16.1,38.9,31.799999999999997,0.0,6.447058801943429,7.658012608804145,W,57.0,18.0,23.0,1004.85,3.759881422924901,0,0.0,0,0,0,0,0,0,0
2009-01-08,2009,1,January,2,Albury,14.0,28.3,22.75,0.0,6.447058801943429,7.658012608804145,W,48.0,20.5,29.0,1011.4,3.6758893280632408,0,0.0,0,0,0,0,0,0,0
2009-01-09,2009,1,January,2,Albury,12.5,28.4,21.9,0.0,6.447058801943429,7.658012608804145,NE,37.0,14.5,27.0,1015.75,3.591897233201581,0,0.0,0,0,1,0,0,0,0
2009-01-10,2009,1,January,2,Albury,17.0,30.8,24.75,0.0,6.447058801943429,7.658012608804145,NE,37.0,13.0,30.0,1010.75,3.507905138339922,0,0.0,0,0,1,0,0,0,0
2009-01-11,2009,1,January,2,Albury,16.9,32.0,26.4,0.0,6.447058801943429,7.658012608804145,S,31.0,15.0,41.5,1008.3499999999999,3.4239130434782608,0,0.0,0,1,1,0,0,0,0
2009-01-12,2009,1,January,2,Albury,17.3,34.7,28.700000000000003,0.0,6.447058801943429,7.658012608804145,SW,35.0,11.0,32.0,1013.1,3.3399209486166,0,0.0,0,1,1,0,0,0,0
2009-01-13,2009,1,January,2,Albury,17.2,37.7,30.0,0.0,6.447058801943429,7.658012608804145,NNW,35.0,12.0,35.0,1013.3,3.2559288537549405,0,0.0,0,1,1,0,0,0,0
2009-01-14,2009,1,January,2,Albury,17.4,43.0,33.55,0.0,6.447058801943429,7.658012608804145,NW,39.0,12.0,24.0,1009.25,3.1719367588932808,0,0.0,0,0,0,0,0,0,0
